Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes
270,"Scarlet to Dusky Honeyeaters, Mistletoebird, Sunbird",Red-headed Honeyeater,Myzomela erythrocephala,11-13cm,"abrupt, sharp, scratchy, metallic ""thwip-tchwip-tchwip-tchwip"" or slightly softer ""swip-swip-swip-swip"". At times slightly harsher, more metallic, buzzing, emphatic ""tzzip, tzzip-tzzip, tzzip"" and scolding ""charrk-charrk-"".",
270,"Scarlet to Dusky Honeyeaters, Mistletoebird, Sunbird",Dusky Honeyeater,Myzomela obscura,12-15cm,"a quite musical ""whik-it, whik-it, whik-it"", a uniform sequence, quality similar to voice of Noisy Pitta. May include richer, mellow notes rather like some of song of Brown Honeyeater, especially the pre-dawn calls of that species: ""whick-it, whik-a-chk, whik-it, whick-a-chuk, whikit"". Also various squeaks, harsh scolding.",
272,"Chats, Gibberbird",Crimson Chat,Epthianura tricolor,11-12cm,"when breeding the male often attracts attention with a high silvery even ""tseee-tseee-tseee"" given in high song flight display over nest site, or from nearby high perch. As contact call in flight, ""tchek, tchek""; also a softer ""chikit chikit"".",
272,"Chats, Gibberbird",White-fronted Chat,Epthianura albifrons,11-13cm,"a metallic, nasal ""tang"" at wide irregular intervals, given in flight.",
272,"Chats, Gibberbird",Orange Chat,Epthianura aurifrons,10-12cm,"a vibrant, metallic ""tang"", softer ""tchek, tchek"".",
272,"Chats, Gibberbird",Yellow Chat,Epthianura crocea,10-12cm,"a high, piping ""tee-tsue-te"" with the middle ""tsue"" usually slightly lower. Males give displays: low undulating or dipping flights with metallic, piping ""tee-tee-tee"" of 2-15 notes. In alarm or threat near nest, low, harsh churring, scolding sounds.",
272,"Chats, Gibberbird",Gibberbird,Ashbyia lovensis,12-13cm,"rather musical chatter, perhaps as contact call; In alarm, several percingly sharp notes. Displays in steep, bouncy, high song-flight, giving high, clear ""tswee-tswee-tswee"" calls.",
274,"Scrub-robins, Hooded and Dusky Robins",Southern Scrub-robin,Drymodes brunneopygia,21-23cm,"a briskly whistled, cheery ""wheet-d-wheeeit"", rising sharply. Also a brisk ""chwip-chWIPpee"" and deeper, mellow ""chep-whep-wheeip"". Scolds with harsh, chattered ""scraach-chak-chak-chak"".",
274,"Scrub-robins, Hooded and Dusky Robins",Northern Scrub-robin,Drymodes superciliaris,21-23cm,"a strong, penetrating, drawn out whistle of several seconds duration, rising, ""wheeeeeiit"", but may be steady, ""wheeeeet"", undulating, ""wheeeur-eeeit"", or interrupted, ""wheee-wheet"". Also often makes a hissing, rasping, scolding noise, a long drawn out, descending ""screeearch"", level ""scrairch"" or undulating ""screeeairarsch"", similar to rise and fall of the whistled call. Has also a very harsh, scolding ""scraaach"" as warning or alarm.",
274,"Scrub-robins, Hooded and Dusky Robins",Hooded Robin,Melanydryas cucullata,15-17cm,"a mellow series, first note far the highest, strongest, then descending, fading: ""CHIERP, chwep-chep-chep"".",
274,"Scrub-robins, Hooded and Dusky Robins",Dusky Robin,Melanydryas vittata,16-17cm,"a plaintive, double-noted, carrying, mellow whistle, repeated monotonously, ""twei-twoo"", the first part loud and clear, the second lower, muffled.",
276,Red and Pink-breasted Robins,Rose Robin,Petroica rosea,10-12cm,"""tick"" in contact, but most distinctive is the male's repetitive song sequence, the initial notes sharp and clear, followed by vibrant, metallic, buzzing sounds: ""chwip-chwip-chwip-TZZEE-TZZEEE-TZZEEE"".",
276,Red and Pink-breasted Robins,Pink Robin,Petroica rodinogaster,11.5-13cm,"cheery chattering trill, more like fairy-wren than robin; quite sharp, metallic, rapid, rattling, yet pleasant; has a barely discernible hesitation after the first note, then slightly descending, ""chwit, whit-wit-wit-wit-wit""; slower, more deliberate, ""whit, whit, whit, whit"".",
276,Red and Pink-breasted Robins,Flame Robin,Petroica phoenicea,13-14cm,"clear, piping trilling, sharp, penetrating, wildly fluctuating pitch, yet lilting, quite musical, ""chrip-a-chip, chrip-a-chip, chirripa-tirrrrrip"". Scolds quite harshly, a rapid ""scraach-scraach"".",
276,Red and Pink-breasted Robins,Scarlet Robin,Petroica multicolor,12-14cm,"song very high, whistled, reeling series of trills, not powerful, but, perhaps because of the shrill quality, travels a considerable distnce. The call has a pleasant, cheery, rippling, quite musical quality; while each trill rises in pitch, the next begins lower, giving the song its ripple, ""tirrrit-tirrrit-tirrrit, tirrrit-tirrrit-tirrrit"". In aggression or defence of his territory, the male gives a rapid, aggressive, hard ""trrut! trrrut!""; contact call is a quiet, tapping ""tek"".",
276,Red and Pink-breasted Robins,Red-capped Robin,Petroica goodenovii,11-12cm,"cheery trill, metallic and rather insect-like, not loud but carries well through the quiet, open bushland: a rapid, ticking ""did-dit-d-wier, did-dit-d-wier, did-dit-d-wier"". As contact call, a hard, abrupt ""tchek, tchek""; rival males chase and threaten with scolding ""kek-kekekek-kekek"".",
278,"Robins, Grey-headed to Eastern Yellow",Grey-headed Robin,Heteromyias albispecularis,16-18cm,"soft piping whistle, rather mournful, single note or in long, lesurely, rather monotonous series of even pitch, occasional brief pauses, ""whiet-whiet-whiet"", or high-low ""whiet-whit, whiet-whit"". Territorial song a long, high whistle followed by several lower, shorter notes.",
278,"Robins, Grey-headed to Eastern Yellow",White-browed Robin,Poecilodryas superciliosa,15-17cm,"call of up to 5 high, clear, piping whistles, ""whiet-wheit-whiet"", ""wheet-t-wit, whiew"" or ""hieeee-whiet"". Also a quick ""chokok, queitchiew"" and ""chokoc-chiew"". As alarm, a harshly chattered ""chrok-chrorrok"".",
278,"Robins, Grey-headed to Eastern Yellow",Mangrove Robin,Eopsaltria pulverulenta,15-16.5cm,"most typical call a husky, mournful, descending ""whieer-wherrr…whurrr"" and much lower, level ""whurrr-whurrr"". Song a higher, clearer ""whitch-a-whitchu"" and lively chatterings.",
278,"Robins, Grey-headed to Eastern Yellow",White-breasted Robin,Eopsaltria georgiana,14.5-16cm,"attractive, mellow, liquid, abrupt ""wiCHWEK"" with intervals of several seconds between calls; in distance just ""chwek"". Song a higher, more lively ""tchiew-tchiew, whiet-siew, whiet-siew""; in alarm, hard ""tchek, tchek"".",
278,"Robins, Grey-headed to Eastern Yellow",Western Yellow Robin,Eopsaltria griseogularis,15-16cm,"most frequent call a long, even series of rapid, abrupt, clear piping whistles, ""whit-whit-whit-whit-""; then a slower, high ""chwip-chwip-chwip…"". Also a powerful, double noted call delivered with force, slow and deliberate, and with whip-crack effect, ""chiOWP-chiOWP, chiOWP-chiOWP"".",
278,"Robins, Grey-headed to Eastern Yellow",Eastern Yellow Robin,Eopsaltria australis,15-16cm,"clear, even, piping whistle, ""tchiep-tchiep-tchiep""; double noted, loud ""tchweip-tchweip"".",
280,"Small Yellow Robins, Small Flycatchers",Pale-Yellow Robin,Tregellasia capito,12-13.5cm,"bursts of 3 or 4 piercing, metallic squeaks, ""chweeik-chweeik-chweeik""; also harsh, scolding ""scraich-"".",
280,"Small Yellow Robins, Small Flycatchers",White-faced Robin,Tregellasia leucps,12-13cm,"song a cheery, rising whistle, ""whitia-whitik, whitia-whittik"". As contact, a soft ""tsip""; grating ""scraich"" in alarm or aggression.",
280,"Small Yellow Robins, Small Flycatchers",Lemon-bellied Flycatcher,Microeca flavigaster,12-14cm,"cheery, vigorous, musical whistling; noes range abruptly from squeaky, sharp to mellow, varied ""chiwi-chiwi-chweeip-chip-chrup"" and ""quieee-chirrup-chi"".. Also metallic, vibrant scolding sounds.",
280,"Small Yellow Robins, Small Flycatchers",Yellow-legged Flycatcher,Microeca griseoceps,11.5-12.5cm,"resonant, strong, whistled calls, but hesitant pauses between most notes, ""wheeit, wheeit, wheewit, whee-whi-wi-wi-whit, whit""; also high, clear, rapid, piping trill; buzzing ""scraich"".",
282,"Logrunner, Chowchilla, Babblers",Logrunner,Orthonyx temminkii,18-21cm,"noisy at dawn, rapid, bubbly, sharp ""qwikkit-qwikit-qwikit""; sharp, metallic ""queeik-queeik-queeik""; deeper, bubbly, mellow ""quokkit-quokkit-"".",
282,"Logrunner, Chowchilla, Babblers",Chowchilla,Orthonyx spaldingii,27-29cm,"calls usually in unison from several birds: one begins with rich, ringing, resonant, extremely loud ""chowk-chowk, chiowk-chiowk, chuck-chiow, chwei, chwieeik-chowk""; others simultaneously add softer musical warblings and low growlings.",
282,"Logrunner, Chowchilla, Babblers",White-browed Babbler,Pomatostomus superciliosus,19-22cm,"varied nasal, squeaky and wheezy chatterings, cluckings and miaows: ""squarrk-squarrairk, wheeit-wheeit, chur-r-r-r-r""; clucking ""tchuk"" contact calls; alarm whistles.",
282,"Logrunner, Chowchilla, Babblers",Hall's Babbler,Pomatostomus halli,22-24cm,"like that of White-browed, slightly deeper and more nasal, less wild variation; similar grating ""chweip-chweip-chur-r-r-r-"".",
282,"Logrunner, Chowchilla, Babblers",Grey-crowned Babbler,Pomatostomus temporalis,26-29cm,"diverse calls: most softer, more nasal than other babblers. Breeding adults give low-high duet: female a nasal ""awark""; male adds a high, clear ""tiew""; other birds of group join in -- cacophonous calls, yet mellow, like distant yapping of many small dogs. Also a nasal ""chippa-wah chippa-wah"". As contact, a soft, mellow ""tchuk"".",
282,"Logrunner, Chowchilla, Babblers",Chestnut-crowned Babbler,Pomatostomus ruficeps,21-23cm,"contact call a whistling ""tsee-tsee, tsee-tsee""; much chattering among members of family group; whistling calls intermixed with ""tchak-tchak-tchak"", which becomes louder, more rapid in excited play, quarrels, alarm. Territorial song a rather strident piping.",
284,"Whipbirds, Wedgebills, Quail-thrushes",Western Whipbird,Psophodes nigrogularis,22-24cm,"not a whip-crack; has been likened to a squeaky cartwheel. While the whistled song does have a repetitive rotating rhythm, it is beautiful, musical, lilting, clear and liquid, ""WHIT-chee-a-WHEER-chwit"": female often quickly answers ""chwik-it-up"". Also a clear, sharp, but downward, rattling finish, ""whit-chi-a-tr-r-r-r-r-t!; as contact, ""chrrk!"".","interesting case where the description has to disavow the onomatopoeic name ""whip"" "
284,"Whipbirds, Wedgebills, Quail-thrushes",Eastern Whipbird,Psophodes olivaceus,25-30cm,"from male, a long whistle buiding up to an explosive whip-crack; instantly answered with sharp ""tchew-tchew"" from female.",
284,"Whipbirds, Wedgebills, Quail-thrushes",Chirruping Wedgebill,Psophodes cristatus,19-21cm,"a high squeak and strong, vibrating, descending trill, ""tsiep-TSIEEEER"", repeatedly, usually as male-female call-answer.",
284,"Whipbirds, Wedgebills, Quail-thrushes",Chiming Wedgebill,Psophodes occidentalis,20-22cm,"far-carrying , beautiful, lonely notes; the first 3 high, ringing, metallic, the last much deeper, metallic, ""tchip-chipity-chiep, tchonk"", repeatedly, vigorously. Also, high-low ringing, metallic ""WHIwhiet-WHI-wheit-"".",
284,"Whipbirds, Wedgebills, Quail-thrushes",Spotted Quail-thrush,Cinclosoma punctatum,26-28cm,"males call from low perch in trees. Song a penetrating double whistle, ""whee-it, whee-it, whee-it"", the initial ""whee""with a mellow ringing quality, the final ""it"" sharply higher, giving undulations throughout the long sequence. At times a faster, higher, ""sweeit-sweeit-sweeit"". Also a long, even whistler-like sequence, ""wheet-wheet-wheet"" and extremely high twittering.",
284,"Whipbirds, Wedgebills, Quail-thrushes",Chestnut Quail-thrush,Cinclosoma castanotus,22-26cm,"usual call a rapid, very high rush of squeaked whistles at uniform pitch, ""swit-swit-swit-swit-swit-swit"". Song by male, from a high perch, is an even series of rich, mellow whistles, ""wheit-wheit-wheit-wheit""; may be repeated at varied tempo and pitch, includng a higher, quicker ""whit-whit-whit-whit-whit"".",
286,Quail-thrushes,Cinnamon Quail-thrush,Cinclosoma cinnamomeum,18-21cm,"contact call a weak, high, piping whistle, uniform pitch, ""tsit, sit-sit"". Song, usually at dawn: ""seit, sit, sieee"", ""tseit, see-seeeit"" and ""tssi-sieee, seei-eit"". In each version the first note is very high, thin, even pitch, last part slightly lower and rather tremulous.",
286,Quail-thrushes,Nullarbor Quail-thrush,Cinclosoma cinnamomeum alisteri,18-20cm,similar to nominate race.,subspecies
286,Quail-thrushes,Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax,20-24cm,"contact and alarm calls are high-pitched, weak, piping, insect-like squeaks, each with a slight uplift in pitch, ""tseit-tseit, tseit-tseit"". The song is a sequence of rather soft yet carrying whistles, tremulous, plaintive, and at times low-pitched compared with calls of other quail-thrushes, ""whit, whit-a-whittee"". The is repeated many times with the same pattern of notes, varying slightly, trending gradually lower, more tremulous, and much slower, ""whit, wheit, a-wheitee"", and eventually an almost husky, soft, ""wheit, wht, a whteee"".",
286,Quail-thrushes,Western Quail-thrush,Cinclosoma castaneothorax marginatum,21-25cm,NA,subspecies
288,Varied Sittella,Varied Sitella,Daphoenositta chrysoptera,11-13cm,"a constant call-and-answer means that the sound is usually from many birds; gives the impression of very rapid calling. Contact call while foraging is a high, thin, metallic ""chwit""; suddenly louder, a harder and more metallic sound, yet with each note ending very sharply, ""thweit-tchwieit-tchwit"". Sounds agitated or urgent, with many birds calling together as a group departs for the next tree. The birds tend to travel in a compact if untidy group, and can be heard approaching from afar, simplifying location of their next landing place.",
288,Varied Sitella,Black-capped Sittella,Daphoenositta chrysoptera,NA,NA,subspecies
288,Varied Sitella,White-winged Sittella,Daphoenositta chrysoptera,NA,NA,subspecies
288,Varied Sitella,White-headed Sittella,Daphoenositta chrysoptera,NA,NA,subspecies
288,Varied Sitella,Striated Sittella,Daphoenositta chrysoptera,NA,NA,subspecies
290,"Crested Bellbirds, Shrike-tit, Whistlers",Crested Bellbird,Oreoica gutturalis,20-22cm,"the song, usually begun by male with female contributing final sounds, often begins softly, builds louder, has a ventriloquial quality. Has a regular strong rhythm, with unique soft, liquid ""ook"" inserted among whistled notes. Variations include a low, husky sequence -- rather slow rhythm, mellow whistles and deep waterdrop effect: ""dee, dee, dee-ook, dee, dee, dee-ook""; also higher, clearer, whistled ""whit, whit-whit-quiook"", and low ""plonk-plon-plonka"".",
290,"Crested Bellbirds, Shrike-tit, Whistlers",Crested Shrike-tit,Falcunculus frontatus,15-19cm,"the song is a soft, rather mournful, undulating, piping whistle, often weak, seeming to come from a distance. The quality of voice in this call is mellow, slightly husky, almost nasal; tends to start softly, strengthen through several sequences of call, with the last note of each set lowest, strongest and finally slightly up-slurred: ""whiert, whi-whit, wheeeir...whiert, whi-whit, wheeeir"". The northern race whitei varies this by alternating between lowering and rising sets of notes. Also a repeated, sharper, downwards call, ""peeeir, peeeir, peeeir""; scolds with a hard, harsh, rattling chatter.",
290,"Crested Bellbirds, Shrike-tit, Whistlers",Grey Whistler,Pachycepala simplex,14-15cm,"clear, sharp, penetrating, short whistles, often slow and deliberate, with a rise then fall, ""wheet, whit, wiet, wheat, whieew""; lacks final whip-crack. Can be a longer, vigorous rush of powerful, abrupt whistles.",
290,"Crested Bellbirds, Shrike-tit, Whistlers",Olive Whistler,Pachycephala olivacea,20-22cm,"strong whistles, high, sharp, deep and mellow. In south, whip-crack ""wheeeow, WHIT, whit, whit"" and Chee-o-whit, wheeeow"". Northern race high, thin then abruptly low, ""whiee-whuooo"", and low-high ""cheeowhit, wheee"".",
292,Whistlers,Golden Whistler,Pachycephala pectoralis,16-18cm,"persistent loud, ringing, whistled calls from both sexes, a long, rapid sequence swelling in volume: ""whit-whit-whit-whiet-whiet-wheet-quWHIT""; also often a repetitive short version, ""whit-whit-whew-WHIT"", ""chwit-chwit-CHEW-WIT"". Contact a single, rising ""tseeip"".",
292,Whistlers,Mangrove Golden Whistler,Pachycephala melanura,15-17cm,"deeper, richer than Golden -- throaty, low warblings that build up to clear whistles and sharp whip sounds which are more like the Golden: ""chwieop-cheiop-chweip-wheit-WHIT"".",
292,Whistlers,White-breasted Whistler,Pachycephala laniodes,18-20cm,"distinctive, more like the Rufous Whistler, most notes deep, mellow, somewhat husky-nasal quality, with frequent higher, clear, pericing whistles.",
292,Whistlers,Rufous Whistler,Pachycephala rufiventris,16-17.5cm,"a long, loud, rapid succession of ringing notes, often 20 to 35 without pause: ""cheWIT-chWIT-chWIT-chWIT"" or ""joey-joey-joey"" Also a call with high, thin, drawn out beginning, powerful, ringing whip-crack finish: ""eeee-CHIEW!"" and ""eee-CHONG!""",
292,Whistlers,Red-lored Whistler,Pachycephala rufogularis,19-21cm,"series of deliberate, swelling yet abrupt whistles of even pitch and strength, ""wheit-wheit-wheit"" or ""whiot-whieot-whieot-""; in distance like""tchopt-chiop-tchiop"". Song a wistful, mellow, husky, almost scratchy sound, rising, falling, rising: ""wheit-chi-u, wheit-chi-u, wheit-chi-u""; ""wheit-chu, wheit-chu"".",
292,Whistlers,Gilbert's Whistler,Pachycephala inornata,19-20cm,"a distinctive, far-carrying sequence of around 15 husky, mellow, slightly nasal, deep whistled calls, starting low, building up to a crescendo, each call with a sharper whip-crack effect: ""cheop-cheop-cheiop-CHEIOP-CHEEIOP-CHEEIOP"". Alo a scratchy ""eechowk, eehOWK, eCHOWK"" and clear strong, whistled ""eew-WHIT, ew-WHIT, ew-WHIT"".",
294,Shrike-thrushes,Little Shrike-thrush,Colluricincla megarhyncha,17-19cm,"often begins with high, drawn out, weak notes, then stronger, rollicking, deep, liquid-sounding notes: ""tseee-tsee-tsee, chok-ok, chok-a-wheet""; ""twhi-twheit-twhit-wheeee, chok-korr""; ""whicha-whieew"" and other varied, clear, calls; harsh, wheezy sounds.",
294,Shrike-thrushes,Bower's Shrike-thrush,Colluricincla boweri,19-20cm,"not powerful, but extremely varied with qualities reminiscent of well-known Grey Shrike-thrush. High, clear first notes are followed by deep, mellow, bubbling notes: ""trip-trip-shrieee, quorr-quorr-quorrot"". Other sequences include ""chuk-chuk-wheeeeit, quorr-quorr, quorreet-queeeit""; ""quorr-quorr-whitteet, quorr-quorr-whittet"". Also loud ""chuk!"", chirps, harsh scoldings.",
294,Shrike-thrushes,Sandstone Shrike-thrush,Colluricincla woodwardi,24-26cm,"loud, ringing calls that reverberate from rock walls of gorges. Many variations, often beginning with high, clear, drawn out, rising whistles, quickly followed by abrupt, rich, mellow, at times bubbling notes. Among these: ""pieeer-pieeer, chokka-chok-chok""; ""wheeeit-wheeeit, quorr-quorr-quorr, queet-queeet""; also, long descending trill, single, quick ""cheewhip!""",
294,Shrike-thrushes,Grey Shrike-thrush,Collurcincla harmonica,22-25cm,"a rich and varied repertoire of calls and songs -- high, clear and often loudly ringing whistles intermingled with mellow, musical notes and deep, rich bubbly sounds. A common sequence is ""quorra-quorra-quorra, WHIEET-CHIEW"", beginning with mellow throaty sounds and finishing with a high, clear, ringing whistle; similarly, ""whet-wheit-quor-quor-quor, WHIEET-CHIEW""; ""wheit-wheit, WHIEET-chiew"". Calls include high, whistled ""whee-it"" and ""whiet-whiet-wheeeit"".",
296,Monarch Flycatchers,Black-faced Monarch,Monarcha melanopsis,16-20cm,"deliberate whistles with disctinctive mellowness in lower notes; slightly scratchy high whistles rise then fall-""wheech-iew, whieeeuw"", ""whee-awhit, whieeeuw""; as single call, or widely spaced, ""wheit-chiew"". Also scratchy, husky, rising ""shreeeit, shreeeit, shreeeit"" and harsh, scolding ""scraach"".",
296,Monarch Flycatchers,Black-winged Monarch,Monarcha frater,17-19cm,"similar to black-faced, but slightly more harsh, rising and falling ""whewheit-whieow, whewheit-whieow"" and scratchy, husky, nasal ""wheit-chow, wheit-chow"". As a single, clearer rising whistle at regular intervals: ""wheeeit, wheeeit, wheeeit"".",
296,Monarch Flycatchers,Spectacled Monarch,Monarcha trivirgatus,15-16.5cm,"most distinctive call is a uniform series of strong whistles, beginning with a somehwat buzzing quality, each not drawn out and rising strongly to a clear, high finish: ""zreee-e-e-e, zreee-e-e-e, zreee-e-e-"". Also has a brief squeaky warble, and scratchy chatterings and harsh scoldings.",
296,Monarch Flycatchers,White-eared Monarch,Monarcha leucotis,13-14cm,"a loud, clear sequence of whistles, each rising, falling away, ""twei-tsieeew, twei-tsieeew, twei-tsieeew"". Much softer is a musical, chattered song, brief, but rapidly repeated, ""chzit-chit-ch-weeeit, chzit-chit-ch-weeeit"". In each case the first notes are soft, slightly buzzing; the last much louder, higher, sharp and clear. Also harsh, low scoldings, buzzing chatterings.",
296,Monarch Flycatchers,Frilled Monarch,Arses telescophthalmus,15-16cm,"usual call a harsh, upward, rasping ""tzeeeeit, tzeeeeit"" can be a single call, several times a slow, widely spaced calls, or extremely rapidly, in long series with resonating, buzzing, cicada-like effect, ""tzeet-zeet-zeet-zeetzeetzeet"". Also has harsh, squabbling scoldings or chatterings.",
296,Monarch Flycatchers,Pied Monarch,Arses kaupi,14-15cm,"a harsh ""tzeeeeeit"", beginning as a low, rasping, buzzing sound, rising to a high, sharp finish; calls widely and unevenly spaced. Also has a long series of clearer whistled notes, rising steadily higher throughout, ""heit-wheit-wheit-wheit-"" and ""whit-whit-whitwhitwhitwhit"".",
298,Monarch Flycatchers,Yellow-breasted Boatbill,Machaerirhynchus flaviventer,11-12cm,"clear, sharp, rising, drawn out whistles, followed by much softer, rapid chuckling: ""wheee-wheeet, chuk-chuk-chuk""; similar ""wheit-wheit-wheit, tsi-tsi-tsi-tst-"". Also a softly trilled, musical, rhythmical ""whit-wh-wh-wh, wheeeee-whit"".",
298,Monarch Flycatchers,Broad-billed Flycatcher,Myiagra ruficollis,15-16cm,"a clear, carrying, ringing, musical ""chiewip-chiwip-chwip-chwip"", contrasting with harsh, grinding, buzzing ""tzzzeep, tzzep, tzzeep"";abrupt, metallic, buzzing ""tzwip-tzwip-tzwip""; soft churring sounds.",
298,Monarch Flycatchers,Leaden Flycatcher,Myiagra rubecula,15-16cm,"clear, carrying ""whit-ee-eight, whit-ee-eight""; similar ""whee-ity, whee-ity"", ""too-wheit, too-wheit""; ""heeit-wheeit, wheeit-wheeit"". Also, harsh, nasal buzzing: ""tzzzeep""; ""scrzzarch"".",
298,Monarch Flycatchers,Satin Flycatcher,Myiagra cyanoleuca,15-17cm,"sharp, metallic ""chwee-wip, chwee-wip, chwee-wip"" and faster, high, sharp ""cheeip-cheeip-cheeip-cheeip"". Harsh, grating grinding: ""grzzz-urk, grzz-urk""; ""gzzirk, gzzirk"".",
298,Monarch Flycatchers,Shining Flycatcher,Myiagra alecto,16-18cm,"diverse calls -- clear, musical whistles to frog-like buzzing, croaking sounds. Common call a rapid series of clear whistles -- starts softly, increases in volume, ""whit, whit, whit"" or more rapid ""whit-whit-whi-"". A buzzing call begins low, increases suddenly, ""zzzreEOW, zzzreEOW"", both high, clear and low buzzing, ""kwit-zzzur, kwit-zzzur"".",
298,Monarch Flycatchers,Restless Flycatcher,Myiagra inquieta,16-21cm,"dverse and distinctive sounds. Common call a high, clear, musical ""toowhee-toowhee-toowhee"", ""twheee-twheee"" or, with slight buzzing, ""tzweet-tzweet"". In contrast, a grating, harsh ""grrzziek,"". Most remarkable is a call given while the bird is hovering: it is a rising series of metallic grinding noises that reverberate far through forest and woodland: ""kzowk! kzowk-kzowk, kziok-kziok, kzeek-kzeek, kzeik-kzeik-"".",
300,"Fantails, Willie Wagtail",Rufous Fantail,Rhipidura rufifrons,15-16cm,"call is a very high, weak ""tsit"" or ""tsi-tsit"". A song may follow on as a brisk, extremely high, squeaky, slightly descending, undulating tinkling, ""tsit, si-sit-tswit, tsit-tseit-tswi, tseit-tswit-tseit""; higher than notes of Grey Fantail.",
300,"Fantails, Willie Wagtail",Mangrove Grey Fantail,Rhipidura phasiana,15-16cm,"contact call is an abrupt ""tek, tek"". As song, a series of short, twittering squeaks, ""tsit-tsit, tsit-chit-chit, chitty-chit"", distinctly different from the Grey's lively cascading, silvery, squeaky song.",
300,"Fantails, Willie Wagtail",Grey Fantail,Rhipidura fuliginosa,14-17cm,"a cheery outpouring of scratchy, squeaky sounds, some so high that they verge on inaudible, mixed in seemingly haphazard manner with lower chatterings, ""twitch-twitchit, tsweeit-tseet, chit-twit, tswit-chat, tsweeit"".",
300,"Fantails, Willie Wagtail",Northern Fantail,Rhipidura rufiventris,19-22cm,"calls distinctive, unlike any other fantail, resonant, metallic, yet rather mellow, ""kek"", ""dek"" or rather musical ""chunk"" given repeatedly over long periods. An ascending, slightly guzzing call is often used: ""zziop-i-deet"". The song is similar to that of the Grey Fantail, but at lower pitch, lacking the highest squeaks of that species, yet the notes are sharp and clear, with descending, tinkling, msuical trills, ""chi-pit, chwip-chit-chweip-chip-cheip-"".",
300,"Fantails, Willie Wagtail",Willie Wagtail,Rhipidura leucophrys,19-22cm,"brisk, strong, lively, a pleasant musical chatter, with sudden switches between sharp and low notes. Given repeatedly: ""whichity-wheit"", ""whitch-i-wheit, whitchit"". Sings through still moonlit nights. In attack or defence gives harsh, loud, metallic, ratchetting chatter.",
302,"Drongo, Magpie-lark, Trillers",Spangled Drongo,Dicrurus bracteatus,28-32cm,"noisy, harsh, tearing, sounds. Includes loud, rasping, brassy, nasal ""k-zark, kzairk-kzairk-""; metallic ""wheit-"", ""kaik-kiarirk""; high ""kierk"" whistles, rackety chatterings.",
302,"Drongo, Magpie-lark, Trillers",Magpie-lark,Grallina cyanoleuca,26-30cm,"calls mellow, liquid yet clear; often a ringing, carrying ""tiu-weet, tiu-weet"" and liquid ""cluip-cluip, cluip-cluip""; as alarm, gives a strident ""treee-treee-!"". Pairs, together give a closely synchronised duet, one a musical, mellow ""qwoo-zik, the other immediately following on with a sharp, yet rather harsh, ""wheeik""; in duet, ""qwoo-zik, wheeik...qwoo-zik-wheeik-"", each call accompanied by lifting of wings. In flight together, a softer, liquid piping, ""qwoo-whik"".",
302,"Drongo, Magpie-lark, Trillers",White-winged Triller,Lalage tricolor (sueurii),16-19cm,"a vigorous chatter or trill, long sustained, loud, clear and carrying. The notes have intermingled sharp and mellow sounds, the overall quality cheerful, the tempo fast and rollicking: ""chwipa-wipa-wipa-wipa-wipa-""; ""chiffa-tiffa-tiffa-tiffa-""; often switches to a slightly softer but rapid, long trill, ""chif-chif-chif-chif-tif-tif-tif"".",
302,"Drongo, Magpie-lark, Trillers",Varied Triller,Lalage leucomela,18-20cm,"while foraging, contact calls are given almost continuously. The sound is distinctive: a rolling, swwelling and fading, mellow rattling, rising and strenghtening for several seconds, ""trrreee-"", then falling, ""-iurr"", giving an undulating ""trreee-iurr, trreee-iurr, trreee-iur-"".",
304,"Cuckoo-shrikes, Cicadabird",Black-faced Cuckoo-shrike,Coracina novaehollandiae,30-36cm,"a loud, sharp churring, harsh yet rather musical; often starts quite high then falls, ""churrieer"", or a descending ""quarieer-quarieer-quarrieer"". Harsher sounds in aggression.",
304,"Cuckoo-shrikes, Cicadabird",White-bellied Cuckoo-shrike,Coracina papuensis,26-28cm,"distinctive, but reminisent of some calls of Black-faced Cuckoo-shrike. Contact call, often while in flight, a scratchy, peevish, rather piercing, unmusical ""queeik-quisseeik"", ""quirreeik""; also softer churrings.",
304,"Cuckoo-shrikes, Cicadabird",Barred Cuckoo-shrike,Coracina lineata,24-26cm,"a sharp, brassy, toy trumpet sound, two or three notes, ""caw-airk-awk"" and ""cwairk-awk"", often given in flight. Also a single, nasal ""quairrn"" and other soft chattering.",
304,"Cuckoo-shrikes, Cicadabird",Ground Cuckoo-shrike,Coracina maxima,34-37cm,"far-carrying contact call, usually in flight: a high, metallic, piercing, drawn out squeak following on from a short, soft note that may not be audible at a distance, ""chr-EEEIP"" or ""gr-EEEIP"". Also a rapid sequence, ""weeip-weeip, weeip-weeip"" and a musical, vibrating trill, ""tr-r-rweeip, tr-r-r-reeip, tr-r-r-r-rrrp"".",
304,"Cuckoo-shrikes, Cicadabird",Cicadabird,Coracina tenuirostris,24-26cm,"usually quiet, but through the breeding season males give a persistent, metallic buzzing: a long sequence of calls, even in pitch and volum. In far N, a drawn out ""trzeee, trzeee, trzeee-"", repeated up to 20 times. In SE call is much more rapid, high pitched, cicada-like, ""tzzeit-tzeit-tzeit-tzeit"".",
