EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Sanderling,Calidris alba,Scolopacidae,Charadriiformes,19,"Males call with croaking, frog-like trills before and during breeding display flights. Females signal their willingness to mate with a series of low buzzing notes that sound like a typewriter in motion. Adults of both sexes perform distraction displays, including snarls and cries, to lure predators away from the nest. Outside the breeding season, Sanderlings twitter in large flocks, each giving a series of soft, squeaky  "" wick wick "" notes. "
Sandhill Crane,Antigone canadensis,Gruidae,Gruiformes,120,"Sandhill Cranes give loud, rattling bugle calls, each lasting a couple of seconds and often strung together. They can be heard up to 2.5 miles away and are given on the ground as well as in flight, when the flock may be very high and hard to see. They also give moans, hisses, gooselike honks, and snoring sounds. Chicks give trills and purrs. "
Sandwich Tern,Thalasseus sandvicensis,Laridae,Charadriiformes,39.5,"A grating  "" kirr-ick. ""  "
Savannah Sparrow,Passerculus sandwichensis,Passerellidae,Passeriformes,13,"Like many grassland sparrows, this species uses short chip notes when alarmed, warding off intruders, or approaching its nest. A typical chip note is a soft, hissing  "" tss "" . During breeding season, the male sings a three-part song that lasts 2 to 3 seconds: opening with a few quick notes; then a high, thin, insect-like buzzy middle; and, ending with a quick lower trill."
Say's Phoebe,Sayornis saya,Tyrannidae,Passeriformes,17,"The most common call note is the clear slurred whistle given without the burry note (see song description). Both sexes also chatter while interacting. <!--Call a  "" phee-eur. "" --> The song of the Say's Phoebe consists of 2 rather simple vocalizations repeated over and over: a clear, slurred whistle and a burry, hiccupping note. Each phrase is less than 1 second long, but they repeat the phrases for several minutes.<!--Song a low, whistled  "" pit-tsee-eur ""  alternated with a burry upslurred  "" churr-eep. "" -->"
Scaled Quail,Callipepla squamata,Odontophoridae,Galliformes,27.95,"The most frequently heard call is a nasal, rhythmic  "" tuck-too "" , with the first note higher, used as a contact call by both sexes. (In West Texas, locals call this the 'Pe-cos' call, after the Pecos River.) Males also use this call during courtship displays, along with the  "" whock "" call. When flushed, birds give a high cheeping call note. Males in search of a mate give a repeated, squealing  "" whock!, "" delivered from a perch such as a fence post. "
Scarlet Tanager,Piranga olivacea,Cardinalidae,Passeriformes,16.5,"Both male and female Scarlet Tanagers give an energetic and very distinctive  "" chick-burr "" . They also give a descending screech call when attacking intruders, a soft call that rises in pitch during courtship and nesting, a twittering call when feeding or flying together, and a nasal whistle when arriving at the nest with food. The male Scarlet Tanager sings a burry series of 4-5 chirruping phrases with a hurried quality. Many people liken it to the sound of a robin with a sore throat. He sings from an exposed perch to defend his territory, getting into singing wars with his neighbors. Females sing a similar song but more softly and with fewer syllables. Mates often sing together while foraging or while the female is gathering nesting material."
Scissor-tailed Flycatcher,Tyrannus forficatus,Tyrannidae,Passeriformes,29.5,"Their calls include squeaks, chirrs, and buzzy rattles. Scissor-tailed Flycatchers sing a series of sharp notes that sound rather like a puppy playing with a squeaky toy, rising in pitch and speeding up toward the end of the song. They sing from conspicuous perches like trees and wires. Like other flycatchers, Scissor-tailed Flycatchers probably do not learn their songs, but instead use innate cues."
Scott's Oriole,Icterus parisorum,Icteridae,Passeriformes,23,"A harsh, very nasal  "" chuk  "" is the most commonly heard call, with a softer, rising  "" wheet  "" also common. Both males and females sing a sweet, melodious series of whistles similar to the song of the Western Meadowlark."
Seaside Sparrow,Ammospiza maritima,Passerellidae,Passeriformes,14," Song is short, muffled, and ends in a buzz;  "" ttp, zhe, eeeeee, ""  like a distant Red-winged Blackbird."
Sedge Wren,Cistothorus platensis,Troglodytidae,Passeriformes,11,"Sharp chips followed by rapid chatter. Song is an accelerating series of 3 or 4 sharp chips, followed by a trill."
Semipalmated Plover,Charadrius semipalmatus,Charadriidae,Charadriiformes,18,"A short two-noted whistle,  "" chu-wee, ""  with second note higher. "
Semipalmated Sandpiper,Calidris pusilla,Scolopacidae,Charadriiformes,16.5,"Call a loud  "" cherk. ""  "
Sharp-shinned Hawk,Accipiter striatus,Accipitridae,Accipitriformes,29,"The Sharp-shinned Hawk's typical call is a high-pitched, frantic  "" kik-kik-kik "" . It's used as an alarm call, during courtship, and by young birds just before they fledge. Nestlings and brooding females give a thin, high-pitched call to beg for food when the male brings prey to the nest. The Sharp-shinned Hawk has no true song, but males and females vocalize to each other during courtship with a plaintive squeal or a series of excited  "" kik-kik-kik "" calls. Because they are smaller, males tend to have higher voices than females. Mated pairs call to each other during the breeding season, making nesting the noisiest time for this usually silent bird."
Sharp-tailed Grouse,Tympanuchus phasianellus,Phasianidae,Galliformes,43.2,"The low cooing of displaying males is made by air passing through the syrinx and amplified by inflated air sacs in the neck. It is used to attract females to the lek, and less often after females have arrived at the lek. Displaying males also cluck (also made by females), bark, make a sound like a popping cork, gobble, and whine. Chicks give high-pitched peeping sounds when distressed. No song."
Shiny Cowbird,Molothrus bonariensis,Icteridae,Passeriformes,18,"Call a rolling chatter. Song a bubbling purring, followed by an ascending series of short, high notes."
Short-billed Dowitcher,Limnodromus griseus,Scolopacidae,Charadriiformes,27,"The most commonly heard call from all three subspecies is a distinctive, soft "" tu-tu-tu,  "" very unlike the high  "" keek "" of Long-billed Dowitcher and more similar to the more strident call of Greater Yellowlegs. The three subspecies have somewhat similar trilling or grating songs, a series of rising and falling phrases that repeat themselves with varying length and emphasis."
Short-eared Owl,Asio flammeus,Strigidae,Strigiformes,38.5,"Short-eared owls are not especially vocal. The primary call, a series of a dozen or more hoots, is given by males during courtship flight and also from the ground or from an elevated perch. Both males and females may bark, scream, or whine when defending the nest and offspring. Females sometimes utter a chickenlike cluck. "
Smith's Longspur,Calcarius pictus,Calcariidae,Passeriformes,16,"A short, dry rattling call and a short, sweet  "" siew "" . Males sing a sweet, somewhat scratchy, sparrowlike song of about 8 notes, closely resembling the songs of Fox Sparrow or American Tree Sparrow, which often sing in adjacent habitats."
Smooth-billed Ani,Crotophaga ani,Cuculidae,Cuculiformes,33,"High, nasal, rising  "" quer-leek "" call is the most commonly heard; this is sometimes written as  "" ah-nee "" and may be the source of the bird's name. Other calls include squeals, screams, barks, growls, and coughs heard in group interactions. "
Snail Kite,Rostrhamus sociabilis,Accipitridae,Accipitriformes,37.5,"A rapid-fire  "" ka-ka-ka-ka-ka-ka "" , usually an alarm call. A softer  "" k-a-a-a-a-a "" call sounds like a sheep bleating, and an even softer  "" kuk-kuk "" may serve as a contact call. "
Snow Bunting,Plectrophenax nivalis,Calcariidae,Passeriformes,15,"Males and females give a clear  "" chew "" , a husky rolling rattle, a short buzz or snarl, and a sharp  "" chi-tik "" while foraging on the ground or in flight.  Male Snow Buntings sing a finchlike low and husky warble. Males sing in flight or while perched on a rock. "
Snow Goose,Anser caerulescens,Anatidae,Anseriformes,76,"Snow Geese are possibly the noisiest of all waterfowl. Their main call, made by both males and females, is a nasal, one-syllable honk given at any hour of the day or night, at any time of year, in the air or on the ground. Distant calling flocks are reminiscent of a pack of baying hounds. Birds less than a year old have a clearer and higher-pitched whistle. Family groups use a series of guttural notes to communicate with each other while feeding. Parents make a fast, quiet series of notes as a brood call to round up goslings. During nesting, they use a penetrating alarm call that varies in intensity. The flight call is a continuous chorus of shrill cries, hoarse honks, and high-pitched quacks, audible both day and night. "
Snowy Egret,Egretta thula,Ardeidae,Pelecaniformes,61,"Snowy Egrets are quiet except on breeding sites, where they give raspy or nasal calls, including loud, harsh squawks to signal aggression. "
Snowy Owl,Bubo scandiacus,Strigidae,Strigiformes,61.5,"In defense, Snowy Owls will hoot, whistle, and hiss. Both sexes, but particularly the males, make low, powerful, slightly rasping hoots. They're often given two at a time but may include up to six hoots in a row. These can be heard for up to 7 miles on the tundra, and other owls often answer with hoots of their own."
Snowy Plover,Charadrius nivosus,Charadriidae,Charadriiformes,16,"Call a husky, trilling  "" purrt, ""  and a whistled  "" tur-weet, ""  accented on the second syllable. "
Solitary Sandpiper,Tringa solitaria,Scolopacidae,Charadriiformes,21,"The most commonly heard call is a sharp  "" wheet "" or  "" wheet-wheet-wheet,  "" similar to that of Spotted Sandpiper but lower and more even in pitch. On the nesting grounds, researchers have described similar alarm calls, a quiet contact call, a loud chatter call, and a long whistle. Males sing both while perched and in flight. The basic song is a series of short, high-pitched whistles that suddenly increases in frequency at about the middle. A more elaborate song, only given in flight, adds on a series of similar but rapidly ascending whistles."
Song Sparrow,Melospiza melodia,Passerellidae,Passeriformes,14.5,"Song Sparrows have a sharp chip note to indicate alarm or anxiety; both sexes make it when excited or if predators approach a nest. Females make a harsh chatter at their mates during nest-building, or at a female intruding on the territory. Young or subordinate birds make a softer,  "" tsip "" note. The Song Sparrow sings a loud, clanking song of 2-6 phrases that typically starts with abrupt, well-spaced notes and finishes with a buzz or trill. In between, the singer may add other trills with different tempo and quality. The song usually lasts 2-4 seconds. Patterns of songs vary over the species' enormous range, so the Song Sparrows you hear when traveling may not sound quite like those from your hometown."
Sooty Grouse,Dendragapus fuliginosus,Phasianidae,Galliformes,45,"Males advertise their territory with a low-pitched, loud hoot or series of them. They give this vocalization to mark territory and to attract females, so some authors refer to this as 'song.' Males also give a growling  "" gugugug "" or more staccato  "" cak-cak-cak "" when confronting rivals or other intruders, including mammals. Females give a quavering cackle or whinny to show interest to advertising males. In aggressive encounters, they give a hiss or chicken-like cluck. Females stay in contact with chicks using a quiet  "" tu "" , sometimes repeated. If separated from her brood, hens give loud, high-pitched  "" skree "" ,  "" kweer-kweer,  "" and "" kwa-kwa "" calls. Male makes very deep hooting."
Sora,Porzana carolina,Rallidae,Gruiformes,22.5,"The most commonly heard call is a descending whinny that lasts 2-3 seconds. The loud and boisterous whinny echoes across wetlands from spring through summer. Males and females whinny to defend their territory and to keep in touch with each other. They also give a 2-noted  "" ker-wee "" or  "" sor-ah "" where the second note rises in pitch, either singly or before giving a descending whinny.  "
Spot-breasted Oriole,Icterus pectoralis,Icteridae,Passeriformes,22.5,"Calls loud and nasal. Song a series of rich, clear, slow whistles."
Spotted Owl,Strix occidentalis,Strigidae,Strigiformes,47.5,"Spotted Owls give up to 13 different hooting, barking, and whistling calls, although only a few are common. The owl's signal call—used by adult males and females to mark and defend territory, and by males delivering food to females—is a series of four hooted notes, with the middle two closest together. The hoots have a deep, pure tone, with females' voices higher than males. To stay in contact, mated pairs also emit a hollow whistling sound that rises in pitch at the end. Fledged young give a similar high-pitched whistle to beg for food. "
Spotted Sandpiper,Actitis macularius,Scolopacidae,Charadriiformes,19,"When alarmed, Spotted Sandpipers may give a pair of  "" weet "" notes or, if warning chicks, make a metallic  "" spink "" . Walking toward the nest, they make a simple  "" pink "" sound, often three times in a row. The alarm call is similar to the song except rather than a long string of notes, it is in pairs, followed by a brief pause. Spotted Sandpipers also use a courtship song between a mated pair that has a series of soft  "" pip "" s before the standard song. If they are surprised while incubating, they may let out a loud squeal. Spotted Sandpipers use a rapid string of about 10  "" weet "" calls in the same manner as a song, for courtship and to communicate between pairs."
Spotted Towhee,Pipilo maculatus,Passerellidae,Passeriformes,19,"Spotted Towhees make a catlike mew call, a little more than a half-second long. It seems to be used for scolding as well as by perched or foraging birds. Pairs sometimes exchange a soft, lisping call to stay in contact. Spotted Towhees also give a high, thin flight call. Spotted Towhees have a fairly simple song, a drier faster take on the Eastern Towhee's  "" drink-your-tea "" song that often omits the middle section. It lasts about 1.5 seconds. The song starts with one or two (up to eight) short introductory notes and then a fast trill that can sound like a taut rubber band being plucked, or a piece of paper stuck into a fan. Some Spotted Towhee songs have just the trill phrase only."
Sprague's Pipit,Anthus spragueii,Motacillidae,Passeriformes,16,"A rapid, squeaky  "" squick  "" or "" squeet "" . The pleasant song, given in flight (seldom from the ground), is a series of thin, high-pitched, buzzy  "" tzsew  "" notes, each descending and given in a descending, swirling pattern for about 3 seconds. The males hover on fluttering wings above the territory and glide shallowly when singing. The flight display usually lasts about 30 minutes but exceptionally may continue for 3 hours without interruption."
Spruce Grouse,Falcipennis canadensis,Phasianidae,Galliformes,39.75,"Males in conflict sometimes utter low croaking notes but otherwise seldom vocalize. In spring, females perch high in trees to deliver a loud series of nasal clucks called the  "" cantus "" , usually at dawn and dusk, perhaps to mark territory. Females also give calls including a short  "" kuk "" , nasal  "" purr "" , and a sharper version of the latter, sounding like a bark. Chicks in alarm give a high, short  "" seer "" . No song."
Steller's Eider,Polysticta stelleri,Anatidae,Anseriformes,44,"Makes soft, low, guttural calls that sound like growls and barks. Courting males give a murmuring croon, rarely heard, similar to but softer than that of Common Eider. Females in courtship give a soft  "" qua-haaa "" or  "" cooay.  "" Steller's Eiders call less than the larger eider species. "
Steller's Jay,Cyanocitta stelleri,Corvidae,Passeriformes,32,"Steller's Jays give a loud and repeated  "" shook shook shook shook "" call year-round, in flight, while perched, and during aggressive interactions. They also make a variety of guttural sounds and a harsh, nasal sounding growl. Sometimes they mimics birds, mammals, and other sounds in their environment. Researchers have heard them imitating squirrels, Northern Flickers, Northern Goshawks, White-breasted Nuthatches, and mechanical sounds such as water sprinklers. Males and sometimes females sing a quiet series of whistled, gurgled, and, popping sounds that they string together. This song is most frequently heard during courtship. "
Stilt Sandpiper,Calidris himantopus,Scolopacidae,Charadriiformes,21.5,"A low, clipped  "" rrrit  "" is the most commonly heard call, with a nighthawk-like buzzy  "" bzzzr "" occasionally heard during aggressive encounters. Mostly in flight, males sing a crescendo series of harsh, grating trills that end with a rising, nasal  "" errreee "" flourish."
Summer Tanager,Piranga rubra,Cardinalidae,Passeriformes,17,"Both males and females give a dry, clicking  "" pit-ti-tuck "" , adding extra syllables if agitated. During territorial disputes they may give a whining  "" chew "" . Males sing a series of slurred whistles separated by short pauses that can sound quite similar to (but shorter than) American Robin, typically lasting 2-4 seconds."
Surf Scoter,Melanitta perspicillata,Anatidae,Anseriformes,54,"Courting males give a gurgling call, a guttural croaking, and a popping  "" puk-puk "" . Female give a harsh crowlike  "" crahh "" during courtship and when defending ducklings. "
Surfbird,Calidris virgata,Scolopacidae,Charadriiformes,25,"A sharp  "" pee-weet. ""  "
Swainson's Hawk,Buteo swainsoni,Accipitridae,Accipitriformes,52,"Adults make a shrill  "" kreeeeee "" alarm call when perched or in flight, often in response to intruders at the nest. The piercing call lasts 2-3 seconds, fading at the end. The female Swainson's Hawk also gives a shorter, lower-pitched version of the call when the male brings food to the nest. Females give a soft  "" weeee "" call during copulation, and both male and female make a  "" pi-tick, pi-tick "" pursuit call when defending territorial boundaries. "
Swainson's Thrush,Catharus ustulatus,Turdidae,Passeriformes,17.5,"Both sexes emit about a half dozen different one-or-two-note calls, none of which has the flutelike quality of the advertising song. Migrating birds utter a hollow  "" peep "" or note that resembles the call of a spring peeper frog. Intruders or predators in the vicinity of a nest may hear a  "" whit "" —a sharp, single note expressing alarm or the intention to distract. The bird may repeat this note to try to lure a human intruder away from a nest, and it may respond to a human imitation of the sound. Swainson's Thrushes also have a thin, high-pitched, single-note whine similar to that of American Robin. They also make a  "" bink "" like water dropping onto a hard surface, and a single, drawn-out, metallic  "" peeer "" reminiscent of the song of the Varied Thrush, but not as long. The Swainson's Thrush is best known for its distinctive, fluting song, the upward-spiraling melody that breeding males use to defend nests and territory and also probably to attract mates. While this song varies somewhat from one individual bird to the next, its whistling, constantly ascending quality is always recognizable once you've heard it."
Swainson's Warbler,Limnothlypis swainsonii,Parulidae,Passeriformes,13.5,"Both sexes give sharp, resonant chips, in quality recalling the call notes of waterthrushes and Prothonotary Warbler. The primary song, sung by males, is a loud, cascading  "" teer, teer, teer, we-tee-widow "" , or similar, often likened to the song of Louisiana Waterthrush. An alternate song, seldom heard, is a jumble of twittering notes, recalling an American Goldfinch's song. Males give this alternate (or 'complex') song in flight or sometimes quietly while foraging."
Swallow-tailed Kite,Elanoides forficatus,Accipitridae,Accipitriformes,57,"When disturbed, Swallow-tailed Kites give a loud, squeaky whistle, usually repeated several times. To deter a predator, they may call while circling and attract up to 20 or more other kites to join in on the effort. During courtship they give a long, upward-slurring whistle. "
Swamp Sparrow,Melospiza georgiana,Passerellidae,Passeriformes,13.5,"The most common call note is a rich, sweet, resonant  "" seet "" , given by both sexes. Males in conflict with other males also utter low, buzzy call notes. Females flushed from the nest might give a series of stuttering chip notes, and pairs sometimes give quiet, sibilant contact calls when apart. In spring and summer, males sing a rich, liquid series of notes all on the same pitch. It's essentially a slow trill, given to attract mates and mark territory. On rare occasions in early spring, a male delivers a flight song composed of halting, jumbled notes followed by its typical trill. Individual sparrows show slight variations in their songs, and there are distinct regional differences among populations' songs as well. "
Tennessee Warbler,Leiothlypis peregrina,Parulidae,Passeriformes,11.5,"Call is a high-pitched, sharp  "" tsip  "" or  "" tit. "" Tennessee Warbler song consists of 3 parts, a rapid succession of high chips that accelerates toward the end:  "" ticka ticka ticka ticka swit swit swit swit sisisisisisisi "" "
Thick-billed Murre,Uria lomvia,Alcidae,Charadriiformes,45,"Low, guttural, nasal calls sounding like croaks or growls. "
Townsend's Solitaire,Myadestes townsendi,Turdidae,Passeriformes,21,"Townsend's Solitaires have 4 types of calls. The most commonly heard is a high-pitched clear ringing note that they give about 30 times per minute. They give this  "" tew "" call year-round to defend their territories. The other 3 types of calls include a harsh note used when defending their territories against other species; a single, low-pitched note given during food exchanges; and a harsh raspy alarm call given by breeding solitaires. The song of the Townsend's Solitaire is a complex finchlike or thrasherlike song consisting of short, rich warbles that change abruptly in pitch. Each phrase is strung together in bouts lasting about a minute. Males and females sing throughout the year, but the female's song is softer."
Townsend's Warbler,Setophaga townsendi,Parulidae,Passeriformes,12.35,"Both sexes give a soft  "" chip "" call; fighting males sometimes make a rapid twittering sound, as do females disturbed at the nest. Males sing two song types. The primary song is a buzzy  "" weazy weazy weazy tweea "" with ending notes on a higher pitch. A secondary song can be rendered  "" swee swee swee zee "" and is heard mostly when males 'countersing' (exchange songs) with rivals on the breeding grounds. Males sing occasionally during migration and sometimes in late winter before migration."
Tree Swallow,Tachycineta bicolor,Hirundinidae,Passeriformes,13.5,"Mates call to each other with the same chirps and gurgles that also appear in their songs. In addition, Tree Swallows give aggressive chatters, shrieking alarm calls, harsh distress calls, and amorous ticking sounds. Tree Swallow songs are high-pitched and liquid, composed of three sounds—a chirp, a whine, and a gurgle—which they mix and match in a variety of patterns. Both males and females sing."
Tricolored Blackbird,Agelaius tricolor,Icteridae,Passeriformes,21,"Male and female Tricolored Blackbirds give a short high-pitched squeak or a more muted, nasal squeak. They are often silent in flight, but sometimes give a short  "" wuk "" that is lower pitched than a Red-winged Blackbird's flight call. Tricolored Blackbirds sound a little bit like a Red-winged Blackbird that is being squeezed [note: we haven't actually squeezed one to verify this]. Their song is muffled and somewhat buzzy with no clear ringing notes. Both males and females sing, but female song occurs most often around the nest and consists of 3 rapid notes, while males sing from all corners of their territory to defend their space and to attract mates. "
Tricolored Heron,Egretta tricolor,Ardeidae,Pelecaniformes,65,"Male and female Tricolored Herons give a quivering, scratchy, nasal call. During aggressive interactions or when flushed they give a short guttural call.  "
Tropical Kingbird,Tyrannus melancholicus,Tyrannidae,Passeriformes,20.5,"The most commonly heard call is a high, thin twitter given by both sexes, often when they reunite at the nest site or attack an intruder in the territory. In the hours before sunrise, males sing a stuttering, syncopated series of high trills and twittering calls,  "" pit prrrrr pit pit prrrr.  "" This song is delivered year-round in some places, often from a concealed perch. It is simpler, less raspy and more even in pitch than the song of the very similar-looking Couch's Kingbird."
Trumpeter Swan,Cygnus buccinator,Anatidae,Anseriformes,148,"Male and female Trumpeter Swans give the characteristic deep, trumpeting 'oh-OH' call, with the second syllable emphasized. The call is softer and more nasal-sounding when made with the mouth closed. Trumpeter Swans call to keep the pair or family together, to defend territories, or to sound an alarm. Both sexes also use a flat-toned, single-syllable 'hoo' call to locate each other. Younger swans make a higher-pitched call, and develop their adult tone by the time they're 6-8 months old. "
Tufted Puffin,Fratercula cirrhata,Alcidae,Charadriiformes,38,"A low, growling  "" errrr. ""  "
Tufted Titmouse,Baeolophus bicolor,Paridae,Passeriformes,15,"Titmouse calls are nasal and mechanical. A scratchy, chickadee-like  "" tsee-day-day-day "" is the most common. Tufted Titmice also give fussy, scolding call notes and, when predators are sighted, a harsh distress call that warns other titmice of the danger. The Tufted Titmouse's song is a fast-repeated, clear whistle:  "" peter-peter-peter "" . The birds repeat this up to 11 times in succession or up to 35 songs delivered per minute. Females occasionally sing a quieter version of the song."
Tundra Swan,Cygnus columbianus,Anatidae,Anseriformes,133.5,"Male and female Tundra Swans make a variety of bugling calls that are smoother and higher pitched than those of the Trumpeter Swan. These include a  "" kuk-kuk "" contact call between parents and cygnets; a 1- or 2-syllable  "" ou "" or  "" oh "" used in flight, when flock members change, or when the flock gathers before dusk to roost; and an  "" oo-ou-oo "" call, emphasizing the second syllable. This last call tends to be given when members of a pair reunite, after they land, and during or after an encounter with an opponent, as the birds shake their partially extended wings. In aggressive or defensive situations the adults make a hissing sound. "
Turkey Vulture,Cathartes aura,Cathartidae,Cathartiformes,72.5,"Turkey Vultures lack the vocal organs to make proper songs. Most of their vocalizations come down to a form of low, guttural hiss made when they are irritated or vying for a better spot on a carcass. They also may give a low, nasal whine while in flight. "
Upland Sandpiper,Bartramia longicauda,Scolopacidae,Charadriiformes,30,"The most commonly heard calls are rapid, fluttering series of three or more  "" tu "" or  "" pip "" notes, all on the same pitch, given by birds in flight, in contact, or under stress. Displaying males sing a somber, trilling whistle that first ascends in pitch, then descends in a pure tone, often called a 'wolf whistle' but having an ethereal musical quality. Males often sing at night, and females also sing on occasion."
Varied Bunting,Passerina versicolor,Cardinalidae,Passeriformes,12.5,"A flat  "" spit  "" is the most commonly heard call from perched birds, while flying birds give very short, buzzy calls that sound similar to the flight call of Indigo Bunting. Males sing a song that can recall a Painted Bunting or Blue Grosbeak (or sometimes House Finch): a jumbled series of variably sweet and scratchy notes that rises and falls pleasantly."
Varied Thrush,Ixoreus naevius,Turdidae,Passeriformes,22.5,"Both males and females make a variety of calls, usually in aggression or defense. Those calls include a short trill, a harsh  "" churrr "" , and a series of low  "" chect "" notes. Male Varied Thrushes sing a whistled, flutelike, sometimes burry tone on a single pitch. They sing mainly in the morning and evening, usually from the top of live conifers. Each song lasts about 2 seconds and is followed by a pause of 3-20 seconds. Successive tones may be on different pitches. This cycle is repeated for 10-15 minutes, until the bird flies to a new perch and starts again."
Vaux's Swift,Chaetura vauxi,Apodidae,Caprimulgiformes,11,"A high-pitched twittering similar to Chimney Swift but higher in pitch, more rapid and insectlike. "
Veery,Catharus fuscescens,Turdidae,Passeriformes,17.5,"Veeries emit a variety of whistled, squealed, and chattering calls. The most common is a distinctive, abrupt  "" veer "" or  "" jeer "" note that can make these birds easy to find even when they are not singing. The name 'Veery' was inspired by the song that males use to defend territory. A series of variations on  "" veer "" , the song descends slightly in pitch, and resonates as if whirling around inside a metal pipe. A group of nineteenth-century observers called it 'an inexpressibly delicate metallic utterance…accompanied by a fine trill which renders it truly seductive.'"
Verdin,Auriparus flaviceps,Remizidae,Passeriformes,10,"Both sexes give a rather loud  "" chip "" call, sometimes in rapid staccato series. Mated pairs give a softer, sweeter  "" see-lip "" or musical  "" tweedle. "" Males sing a simple 2-3 note whistled song,  "" tseet-tsor-tsor "" ."
Vermilion Flycatcher,Pyrocephalus rubinus,Tyrannidae,Passeriformes,13.05,"A sharp, squeaky  "" pisk pisk "" . Adults also chatter to each other in a vocalization that is described as similar to the song, but slower. The common song of the Vermilion Flycatcher, given exclusively by the male, is a chirpy, accelerating  "" p-p-p-pik-zee,  "" often repeated several times."
Vesper Sparrow,Pooecetes gramineus,Passerellidae,Passeriformes,14.5,"Call notes include a sharp  "" chirp "" . Their song starts with 1-4 downslurred whistles followed by a rising and falling trill that ends with a buzzy jumble. Vesper Sparrows are early morning songsters, but they also tend to sing after sunset. They sing from elevated perches such as fences, wires, posts, and shrubs. "
Violet-green Swallow,Tachycineta thalassina,Hirundinidae,Passeriformes,12,"Their calls are the most frequently heard sounds. In flight they give a short  "" chee-chee "" , which they often string together for several seconds as they interact with other swallows. They twitter during courtship and territory establishment or in combination with other calls. When defending the nest site, they sometimes give a sharp  "" zwark "" . Although the Violet-green Swallow is a member of the songbird group, its song is a simple series of chirps and is only heard during the pre-dawn hours."
Virginia Rail,Rallus limicola,Rallidae,Gruiformes,23.5,"A long sequence of piglike grunts that tends to trail off at the end emanates from many a wetland in spring. Males and females perform duetting grunts to defend their territories and to communicate with each other throughout the breeding season.  Virginia Rails are particularly vocal in the spring. The birds give a repeated  "" tick-it "" in the hours surrounding dawn and dusk; this vocalization is thought to be made only by males. Females and males also sing a  "" kick-er "" that has a stuttering quality to it."
Virginia's Warbler,Leiothlypis virginiae,Parulidae,Passeriformes,11.2,"The call of the Virginia's Warbler is a high-pitched, flat  "" tic "" or  "" chip "" .  Male Virginia's Warblers sing a sweet and clear warble that gets faster at the end. The song consists of 2 parts; the first part is slow and clear with each note almost countable and the second part is fast and a bit slurred. Males start singing when they arrive at the breeding grounds. They sing more softly as the breeding season progresses and eventually stop singing by mid-July."
Wandering Tattler,Tringa incana,Scolopacidae,Charadriiformes,28,"Call a loud, ringing  "" kree-kree-kree. ""  "
Warbling Vireo,Vireo gilvus,Vireonidae,Passeriformes,12.5,"Warbling Vireos use many calls, particularly a raspy, descending scold call as well as a low spitting note. Female have a courtship call that they sometimes give in a loose duet with the male. Male Warbling Vireos sing a rapid, undulating, highly variable song with a rich, burbling quality lasting about 3 seconds. The song usually concludes with an accented note pitched higher than the preceding melody. Males sometimes sing from the nest."
Western Bluebird,Sialia mexicana,Turdidae,Passeriformes,17.5,"The most common call is a soft, quavering  "" kew "" that may be given from a perch or in flight and is often given several times in succession. They also make a harsher, double-noted  "" che-check "" when changing position, and a chattering call when disturbed. Western Bluebird songs tend to be a string of various call notes, particularly the  "" kew "" note along with other stuttering or whistled notes. The result is a soft, hesitant song that can last 1-2 seconds."
Western Grebe,Aechmophorus occidentalis,Podicipedidae,Podicipediformes,65,"Western Grebes produce many vocalizations during the breeding season but are largely silent in winter. The advertising call, which commences the rushing ceremony, is a harsh, rolling  "" cree creet "" , which is followed by a ratchet-call, a harsh trill given during the next portion of that ceremony. Females soliciting food from mates give a repeated  "" tuk-a "" , and males give a loud trill during copulation. Other trilling calls are produced during the weed ceremony and lesser displays. Both sexes deliver a  "" tuk-tuk-tuk "" , a threat call directed at rivals during establishment of the nest site. "
Western Gull,Larus occidentalis,Laridae,Charadriiformes,61,"Call a loud whistly  "" keow. ""  "
Western Kingbird,Tyrannus verticalis,Tyrannidae,Passeriformes,22,"Western Kingbirds give sharp  "" kip "" notes and squeaky twitters. The male gives a harsh, buzzing call when attacking predators or other kingbirds. Though it's not technically in the group of birds known as songbirds, the Western Kingbird has one call that functions as a song. Starting just before sunrise, breeding males perch on tree limbs or wires and give a rising series of sharp  "" kips "" , culminating in a frantic burst of loud descending notes. Each call lasts about 2 seconds, and the male may repeat the pattern for half an hour to proclaim his territory."
Western Meadowlark,Sturnella neglecta,Icteridae,Passeriformes,21,"The Western Meadowlark's most common call is a low, bell-like  "" pluk "" or  "" chupp "" which they use when disturbed and during courtship and territorial displays. Female Western Meadowlarks also give a soft rattle during courtship and egg laying, as well as a low intensity  "" tee-tee-tee "" when building the nest and laying eggs. For their first few weeks after leaving the nest, young birds give a simple, high-pitched location call, which is replaced by a  "" weet "" note once the birds are independent. Adults use the  "" weet "" note when migrating. Male Western Meadowlarks have a complex, two-phrase 'primary' song that begins with 1-6 pure whistles and descends to a series of 1-5 gurgling warbles. Males develop a repertoire of up to a dozen songs, and may switch the songs they sing in response to an intruder. When chasing competing males or responsive females, male Western Meadowlarks give a hurried, excited 'flight song' of short-spaced whistles and warbles. Although Western Meadowlarks seldom sing more than 10-12 songs, their eastern counterparts exhibit a much larger repertoire of 50-100 song variations."
